,index,Regressor,deltaR
0,0,CategoryID,0.4471924899272123
1,0,GoChoice,-0.019520487113871887
2,0,Reward,0.08433170528922573
3,0,StimulusSF_0.023,0.7626319440758949
4,0,StimulusSF_0.027,0.48633177532358896
5,0,StimulusSF_0.033,0.6615441276515655
6,0,StimulusSF_0.06,0.19195870479101412
7,0,StimulusSF_0.1,0.47441530144282323
8,0,StimulusSF_0.25,0.26004236158312843
9,0,StimulusORI_0,0.2352943099307625
10,0,StimulusORI_15,0.1670694084540671
11,0,StimulusORI_30,0.3110707611009383
12,0,StimulusORI_60,0.14522577849253918
13,0,StimulusORI_75,0.3519678444922147
14,0,StimulusORI_90,0.39591934920491895
